moisture,temperature,ec,pH,nitrogen,phosphorous,potassium,growth_stages,urea_status,nps_status,urea_dose,nps_dose
71.6,22.2,0.307,6.7,17.4,16.8,2.4,Flowering,Balanced,Balanced,0.0,0.0
46.1,17.2,0.601,4.9,16.2,15.6,3.6,Flowering,Deficient,Balanced,0.013,0.0
61.6,18.5,0.815,6.9,21.0,16.8,2.4,Flowering,Balanced,Balanced,0.0,0.0
55.8,24.4,0.748,6.1,16.2,14.4,1.8,Flowering,Deficient,Balanced,0.055,0.0
57.8,17.0,0.783,8.4,10.8,13.8,0.0,Flowering,Deficient,Balanced,0.165,0.0
73.4,24.8,0.675,4.8,3.6,9.6,3.0,Flowering,Deficient,Balanced,2.682,0.0
48.3,20.3,0.738,7.7,5.4,16.8,2.4,Flowering,Deficient,Balanced,3.067,0.0
52.0,19.2,0.942,4.5,11.4,1.2,6.0,Flowering,Deficient,Deficient,0.293,0.402
62.9,16.7,0.644,5.2,6.0,5.4,0.0,Flowering,Deficient,Balanced,4.617,0.0
55.8,20.6,0.65,3.5,3.6,12.6,3.6,Flowering,Deficient,Balanced,0.062,0.0
55.7,22.1,0.86,5.3,29.4,16.2,2.4,Flowering,Balanced,Balanced,0.0,0.0
46.9,25.7,0.634,4.9,12.6,7.8,1.8,Flowering,Deficient,Balanced,0.965,0.0
69.0,28.1,0.949,5.0,3.0,2.4,1.2,Flowering,Deficient,Deficient,3.298,0.931
52.6,27.9,0.494,7.8,1.2,10.2,0.0,Flowering,Deficient,Balanced,3.639,0.0
45.6,15.4,0.188,7.7,13.2,12.0,0.6,Flowering,Deficient,Balanced,1.056,0.0
65.3,26.0,0.958,4.9,15.0,1.8,4.2,Flowering,Balanced,Deficient,0.0,0.977
63.4,28.5,0.994,3.7,12.6,9.0,2.4,Flowering,Deficient,Balanced,0.031,0.0
59.4,23.0,0.461,6.0,6.6,1.2,5.4,Flowering,Deficient,Deficient,7.543,9.229
69.5,23.6,0.505,3.6,22.8,6.0,4.8,Flowering,Balanced,Balanced,0.0,0.0
76.5,23.9,0.265,3.1,25.2,6.0,5.4,Flowering,Balanced,Balanced,0.0,0.0
78.1,15.2,0.916,4.0,16.2,8.4,3.6,Flowering,Deficient,Balanced,0.001,0.0
56.9,28.6,0.975,3.7,9.0,10.8,4.2,Flowering,Deficient,Balanced,0.063,0.0
75.0,25.3,0.6,8.2,4.8,1.8,4.2,Flowering,Deficient,Deficient,0.415,0.886
49.0,25.7,0.104,6.6,6.0,2.4,3.6,Flowering,Deficient,Deficient,12.599,7.418
51.0,20.4,0.325,4.0,18.6,17.4,1.8,Flowering,Balanced,Balanced,0.0,0.0
71.9,20.6,0.203,8.2,20.4,3.6,3.6,Flowering,Balanced,Deficient,0.0,0.237
58.5,21.7,0.412,7.0,10.8,4.8,1.2,Flowering,Deficient,Balanced,5.902,0.0
60.8,23.7,0.262,8.9,7.2,8.4,3.6,Flowering,Deficient,Balanced,0.037,0.0
54.8,27.5,0.357,5.1,25.8,1.8,4.2,Flowering,Balanced,Deficient,0.0,2.005
74.9,19.1,0.502,3.3,14.4,8.4,1.2,Flowering,Deficient,Balanced,0.004,0.0
78.1,17.6,0.42,4.2,0.6,10.8,4.2,Flowering,Deficient,Balanced,0.833,0.0
79.4,21.5,0.21,6.5,19.8,18.0,5.4,Flowering,Balanced,Balanced,0.0,0.0
50.3,27.0,0.735,6.5,18.0,11.4,0.0,Flowering,Balanced,Balanced,0.0,0.0
49.0,18.1,0.892,3.0,19.8,7.2,4.2,Flowering,Balanced,Balanced,0.0,0.0
57.5,28.1,0.993,6.5,10.8,0.6,0.6,Flowering,Deficient,Deficient,1.513,10.728
76.6,26.7,0.598,7.3,1.2,10.2,3.6,Flowering,Deficient,Balanced,10.202,0.0
46.1,22.8,0.812,3.8,24.0,7.8,5.4,Flowering,Balanced,Balanced,0.0,0.0
78.2,24.3,0.347,4.2,1.2,8.4,4.2,Flowering,Deficient,Balanced,0.822,0.0
76.4,26.6,0.992,5.8,22.8,9.0,1.8,Flowering,Balanced,Balanced,0.0,0.0
72.3,15.8,0.811,4.4,6.0,7.2,4.2,Flowering,Deficient,Balanced,0.801,0.0
55.7,27.0,0.569,5.0,21.6,10.2,2.4,Flowering,Balanced,Balanced,0.0,0.0
82.4,18.8,0.001,6.2,11.4,9.6,1.2,Flowering,Deficient,Balanced,7.289,0.0
75.9,16.7,0.6,8.9,0.6,9.6,3.6,Flowering,Deficient,Balanced,0.057,0.0
77.9,19.9,0.828,7.4,5.4,7.8,4.8,Flowering,Deficient,Balanced,5.603,0.0
63.7,27.4,0.929,8.9,27.0,9.0,1.8,Flowering,Balanced,Balanced,0.0,0.0
47.9,20.5,0.876,3.8,13.8,12.6,4.2,Flowering,Deficient,Balanced,0.031,0.0
71.1,18.7,0.981,5.0,19.2,1.8,1.2,Flowering,Balanced,Deficient,0.0,1.231
57.7,22.7,0.016,6.3,7.2,14.4,0.6,Flowering,Deficient,Balanced,13.971,0.0
57.6,15.3,0.803,3.1,15.0,13.2,3.0,Flowering,Deficient,Balanced,0.001,0.0
82.0,18.6,0.195,7.9,12.0,16.8,0.6,Flowering,Deficient,Balanced,0.864,0.0
76.7,26.8,0.606,4.2,13.8,12.6,2.4,Flowering,Deficient,Balanced,0.121,0.0
48.1,15.5,0.339,3.8,0.0,15.6,5.4,Flowering,Deficient,Balanced,0.259,0.0
68.0,16.6,0.023,7.4,1.8,9.6,4.8,Flowering,Deficient,Balanced,9.986,0.0
58.6,18.5,0.936,6.1,7.2,12.0,0.6,Flowering,Deficient,Balanced,9.197,0.0
46.0,26.5,0.159,7.2,11.4,12.0,0.6,Flowering,Deficient,Balanced,4.468,0.0
80.9,28.1,0.069,7.6,9.6,2.4,4.2,Flowering,Deficient,Deficient,1.805,2.934
59.9,17.2,0.009,6.2,6.0,9.6,5.4,Flowering,Deficient,Balanced,15.372,0.0
64.4,23.6,0.109,3.7,13.8,9.6,2.4,Flowering,Deficient,Balanced,0.03,0.0
55.6,15.9,0.655,3.5,12.6,2.4,4.8,Flowering,Deficient,Deficient,0.016,0.005
64.0,18.7,0.801,5.6,21.0,13.8,5.4,Flowering,Balanced,Balanced,0.0,0.0
54.1,25.1,0.657,3.4,19.8,16.8,3.0,Flowering,Balanced,Balanced,0.0,0.0
74.8,18.9,0.234,7.0,18.0,16.8,4.2,Flowering,Balanced,Balanced,0.0,0.0
66.7,16.9,0.215,5.2,12.6,17.4,3.0,Flowering,Deficient,Balanced,1.92,0.0
82.3,28.1,0.207,5.3,0.6,13.8,4.8,Flowering,Deficient,Balanced,9.63,0.0
46.8,22.7,0.567,4.2,15.6,10.2,5.4,Flowering,Deficient,Balanced,0.033,0.0
76.7,17.2,0.51,7.4,26.4,3.6,3.6,Flowering,Balanced,Deficient,0.0,1.084
63.8,20.5,0.336,6.0,24.6,16.8,3.0,Flowering,Balanced,Balanced,0.0,0.0
46.8,22.2,0.834,8.1,19.8,13.2,3.0,Flowering,Balanced,Balanced,0.0,0.0
75.0,20.6,0.94,6.2,6.0,16.2,3.0,Flowering,Deficient,Balanced,10.855,0.0
73.7,21.3,0.739,8.8,0.6,5.4,4.8,Flowering,Deficient,Balanced,0.087,0.0
80.0,24.4,0.04,8.6,4.2,0.6,2.4,Flowering,Deficient,Deficient,0.007,0.493
50.7,23.3,0.345,6.9,13.8,11.4,4.2,Flowering,Deficient,Balanced,2.977,0.0
64.6,19.3,0.302,3.2,6.6,7.8,4.8,Flowering,Deficient,Balanced,0.017,0.0
74.0,19.3,0.542,7.6,15.6,9.6,4.2,Flowering,Deficient,Balanced,0.252,0.0
59.8,24.8,0.126,4.3,15.6,5.4,3.0,Flowering,Deficient,Balanced,0.05,0.0
50.2,26.4,0.067,4.8,9.0,0.6,0.6,Flowering,Deficient,Deficient,1.237,1.605
50.3,17.8,0.412,7.2,1.2,16.8,0.0,Flowering,Deficient,Balanced,12.758,0.0
51.2,18.5,0.788,7.6,16.8,0.6,3.0,Fruiting,Balanced,Deficient,0.0,9.963
69.4,14.7,0.367,4.6,1.8,16.2,6.0,Fruiting,Deficient,Balanced,1.178,0.0
54.3,23.0,0.388,7.7,17.4,6.6,3.6,Fruiting,Balanced,Deficient,0.0,2.147
80.4,17.6,0.462,8.9,27.6,9.0,2.4,Fruiting,Balanced,Balanced,0.0,0.0
46.1,,0.483,7.0,13.8,0.6,0.0,Fruiting,Balanced,Deficient,0.0,23.901
64.4,28.1,0.667,5.0,21.6,10.8,5.4,Fruiting,Balanced,Balanced,0.0,0.0
56.7,17.0,0.247,4.0,24.0,11.4,5.4,Fruiting,Balanced,Balanced,0.0,0.0
46.7,16.1,0.408,4.0,23.4,16.2,5.4,Fruiting,Balanced,Balanced,0.0,0.0
64.9,27.1,0.893,8.0,22.2,10.8,0.6,Fruiting,Balanced,Balanced,0.0,0.0
55.9,23.6,0.061,8.9,16.2,17.4,4.2,Fruiting,Balanced,Balanced,0.0,0.0
69.2,21.1,0.306,4.1,16.8,0.6,4.2,Fruiting,Balanced,Deficient,0.0,0.344
74.3,23.0,0.354,3.7,10.8,0.6,6.0,Fruiting,Balanced,Deficient,0.0,0.067
46.8,23.1,0.616,8.3,18.6,5.4,0.6,Fruiting,Balanced,Deficient,0.0,0.825
46.9,27.1,0.062,4.0,4.2,9.0,5.4,Fruiting,Deficient,Balanced,0.175,0.0
69.2,19.5,0.63,5.2,18.6,5.4,1.2,Fruiting,Balanced,Deficient,0.0,2.754
82.9,27.2,0.216,6.7,3.0,12.6,4.8,Fruiting,Deficient,Balanced,9.313,0.0
49.3,27.2,0.01,4.0,19.2,16.2,1.2,Fruiting,Balanced,Balanced,0.0,0.0
60.8,24.6,0.589,6.9,19.8,5.4,4.2,Fruiting,Balanced,Deficient,0.0,9.253
70.5,18.4,0.169,8.4,25.2,8.4,1.2,Fruiting,Balanced,Balanced,0.0,0.0
54.4,24.8,0.787,4.3,1.2,3.0,4.2,Fruiting,Deficient,Deficient,0.337,0.402
81.2,15.9,0.754,8.1,10.8,14.4,2.4,Fruiting,Balanced,Balanced,0.0,0.0
62.6,18.4,0.209,4.3,6.6,13.2,4.8,Fruiting,Deficient,Balanced,0.219,0.0
64.3,24.8,0.711,6.8,1.8,3.6,5.4,Fruiting,Deficient,Deficient,2.503,15.077
65.7,17.6,0.859,6.7,9.0,15.0,5.4,Fruiting,Deficient,Balanced,0.558,0.0
48.1,19.5,0.846,6.4,12.0,15.6,5.4,Fruiting,Balanced,Balanced,0.0,0.0
75.6,18.6,0.367,7.3,4.2,9.0,5.4,Fruiting,Deficient,Balanced,3.917,0.0
49.7,23.4,0.258,4.5,22.8,5.4,6.0,Fruiting,Balanced,Deficient,0.0,0.519
55.2,19.1,0.028,3.2,19.2,14.4,2.4,Fruiting,Balanced,Balanced,0.0,0.0
49.9,15.0,0.743,7.1,11.4,12.6,3.6,Fruiting,Balanced,Balanced,0.0,0.0
63.9,22.7,0.901,3.3,24.0,4.2,2.4,Fruiting,Balanced,Deficient,0.0,0.004
54.8,16.8,0.444,7.2,4.2,6.0,1.2,Fruiting,Deficient,Deficient,1.968,5.989
68.5,28.6,0.666,3.1,6.6,13.2,5.4,Fruiting,Deficient,Balanced,0.003,0.0
66.2,20.5,0.529,5.8,21.6,12.0,2.4,Fruiting,Balanced,Balanced,0.0,0.0
70.1,15.0,0.609,3.3,15.6,17.4,3.6,Fruiting,Balanced,Balanced,0.0,0.0
82.2,26.1,0.52,6.6,25.8,16.8,0.0,Fruiting,Balanced,Balanced,0.0,0.0
68.6,16.4,0.208,3.1,10.2,17.4,4.8,Fruiting,Balanced,Balanced,0.0,0.0
72.1,16.9,0.024,8.7,21.6,9.6,1.8,Fruiting,Balanced,Balanced,0.0,0.0
82.7,23.9,0.566,5.6,6.6,4.2,1.8,Fruiting,Balanced,Deficient,0.0,7.952
60.5,18.8,0.988,4.6,4.8,3.0,4.8,Fruiting,Deficient,Deficient,0.158,0.956
48.4,22.8,0.437,7.8,3.0,13.2,0.6,Fruiting,Deficient,Balanced,1.605,0.0
53.5,21.8,0.36,4.9,26.4,4.8,0.0,Fruiting,Balanced,Deficient,0.0,1.866
68.0,20.7,0.654,8.5,14.4,7.2,5.4,Fruiting,Balanced,Deficient,0.0,0.169
63.6,16.0,0.539,8.4,14.4,10.8,3.6,Fruiting,Balanced,Balanced,0.0,0.0
51.5,16.8,0.01,5.9,10.2,7.8,4.8,Fruiting,Balanced,Deficient,0.0,1.631
55.2,24.0,0.523,7.9,25.8,1.2,4.2,Fruiting,Balanced,Deficient,0.0,5.707
69.9,25.0,0.71,4.2,2.4,17.4,2.4,Fruiting,Deficient,Balanced,0.337,0.0
55.1,17.8,0.725,3.7,17.4,8.4,2.4,Fruiting,Balanced,Balanced,0.0,0.0
45.8,19.9,0.999,8.2,19.8,12.6,1.2,Fruiting,Balanced,Balanced,0.0,0.0
50.3,23.6,0.128,8.1,27.6,6.0,3.6,Fruiting,Balanced,Deficient,0.0,1.319
79.4,15.8,0.242,8.3,9.6,16.2,6.0,Fruiting,Balanced,Balanced,0.0,0.0
53.6,28.0,0.13,7.8,4.2,12.0,4.2,Fruiting,Deficient,Balanced,1.447,0.0
81.4,23.0,0.891,6.5,12.6,5.4,1.2,Fruiting,Balanced,Deficient,0.0,9.193
70.3,21.0,0.457,4.7,4.8,16.8,2.4,Fruiting,Deficient,Balanced,0.875,0.0
56.3,20.8,0.579,7.1,13.8,12.6,1.8,Fruiting,Balanced,Balanced,0.0,0.0
71.5,23.0,0.842,3.3,6.6,6.0,1.8,Fruiting,Deficient,Deficient,0.005,0.003
77.1,15.1,0.036,5.2,9.0,8.4,1.2,Fruiting,Deficient,Balanced,0.277,0.0
66.5,23.3,0.028,6.6,0.6,14.4,1.8,Fruiting,Deficient,Balanced,13.895,0.0
53.1,20.5,0.543,6.6,3.6,17.4,5.4,Fruiting,Deficient,Balanced,7.774,0.0
62.8,17.0,0.773,8.1,25.2,15.0,0.6,Fruiting,Balanced,Balanced,0.0,0.0
64.1,28.1,0.78,5.7,1.8,9.6,0.6,Fruiting,Deficient,Balanced,6.256,0.0
81.6,16.6,0.057,8.4,10.2,7.8,2.4,Fruiting,Balanced,Deficient,0.0,0.127
76.1,27.6,0.453,3.5,18.6,2.4,2.4,Fruiting,Balanced,Deficient,0.0,0.02
59.8,20.9,0.694,5.0,14.4,12.0,4.2,Fruiting,Balanced,Balanced,0.0,0.0
64.9,21.1,0.272,8.2,6.6,15.6,1.2,Fruiting,Deficient,Balanced,0.223,0.0
45.4,21.6,0.789,5.3,22.2,11.4,1.8,Fruiting,Balanced,Balanced,0.0,0.0
82.3,20.6,0.776,5.1,22.8,8.4,4.2,Fruiting,Balanced,Balanced,0.0,0.0
59.2,22.2,0.735,7.0,3.6,9.6,2.4,Fruiting,Deficient,Balanced,5.624,0.0
55.4,17.5,0.588,7.8,20.4,11.4,5.4,Fruiting,Balanced,Balanced,0.0,0.0
56.5,21.0,0.325,8.1,5.4,10.8,1.8,Fruiting,Deficient,Balanced,0.433,0.0
